campaign_id,source_file,source_sha256,source_ordinal,line_number,histogram_scope,scenario,workflow_index,workflow_source,bucket_index,bucket_label,bucket_upper_ticks,count
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,179,workflow,4,2,fresh,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,179,workflow,4,2,fresh,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,179,workflow,4,2,fresh,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,185,workflow,44,0,bootstrap,0,<=1,1,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,185,workflow,44,0,bootstrap,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,185,workflow,44,0,bootstrap,2,<=8,8,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,185,workflow,44,0,bootstrap,3,>8,,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,196,workflow,44,3,fresh,0,<=1,1,4
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,196,workflow,44,3,fresh,1,<=2,2,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-01.txt,352c5b3107f2071425e01eb4a647a975770576c2a40e62959e34c8649175f774,1,196,workflow,44,3,fresh,2,<=8,8,0
